Subject,Start Date,Start Time,Location,Description,End Date,End Time
"From the Petrodollar to the Electrodollar: America, Money and the Grid",2022/03/30,4:30 PM,Big Tent,"Bitcoin helps renewable projects get built, ultimately driving cheaper power for consumer and industrial loads while stabilizing the grid. It also offers an off-ramp from the incumbent petrodollar system and a path forward to a more efficient, cleaner, and productive system backed by the electrodollar, with James McGinniss.",2022/03/30,04:50 PM
The Rise of Renewables,2022/03/31,9:30 AM,Beatles Stage,CoinShares’ Bitcoin Mining Report have suggested that bitcoin mining could drive investment in renewables and produce more energy available to the grid.,2022/03/31,09:50 AM
Oil and Gas Asset Efficiency,2022/03/31,9:45 AM,Big Tent,How can bitcoin mining improve oil and gas asset efficiency?,2022/03/31,10:05 AM
Demand Response: How Texas Miners Are Stabilizing the Grid,2022/03/31,10:15 AM,Beatles Stage,Problem: The grid is unstable. Solution: Bitcoin fixes this.,2022/03/31,10:35 AM
Premiere: Into the Lives of JAI Energy by Compass Mining,2022/03/31,10:30 AM,Big Tent,Compass Mining filmed a day in the life of owning a bitcoin mine. ,2022/03/31,10:50 AM
Risk Mitigation: Things that Keep Miners Up at Night ,2022/03/31,11:00 AM,Beatles Stage,"In a space as new as bitcoin mining, one of the best things you can do to make sure your business is successful is to constantly evaluate the risks. The mining industry has been around long enough that there are people who have run into many different problems and know what works when it comes to mitigating risk.",2022/03/31,11:20 AM
Congressman Pete Sessions Fireside Chat,2022/03/31,11:15 AM,Big Tent,,2022/03/31,11:35 AM
Risky Business: Financing Strategies,2022/03/31,1:15 PM,Big Tent,Most bitcoin miners have fairly limited experience in optimizing capital structures.,2022/03/31,01:35 PM
Power Quality: Protecting Your Investment,2022/03/31,1:30 PM,Big Tent,,2022/03/31,01:50 PM
Content is King: Leveraging Social Media to Build a Brand,2022/03/31,2:00 PM,Beatles Stage,"In today’s social media-driven world, brands that are savvy about their online presence have the luxury of being a part of the conversation. Not only do they have a direct line to community, they also enjoy an opportunity to establish themselves as industry experts through helpful and informative content.",2022/03/31,02:20 PM
Keynote: Bitmain,2022/03/31,2:15 PM,Big Tent,,2022/03/31,02:35 PM
Stacking Sats: HODL'ing Bitcoin on the Balance Sheet,2022/03/31,2:45 PM,Beatles Stage,Should your business hold bitcoin on the balance sheet?,2022/03/31,03:05 PM
From Containers to Data Center,2022/03/31,3:00 PM,Big Tent,Learn how to turn a shipping container into a data center.,2022/03/31,03:20 PM
"Not Your Gas, Not Your Power: Land and Mineral Royalties for Bitcoin Mining",2022/03/31,3:30 PM,Beatles Stage,Should mineral owners get a cut of the bitcoin mining operation?,2022/03/31,03:50 PM
Keep Cool & Mine On: Liquid Immersion,2022/03/31,3:45 PM,Big Tent,Jose Ortega and Peter Wall will explain the process of liquid immersion cooling and how it can increase your hashrate when mining.,2022/03/31,04:05 PM
Demystifying Bitcoin Capital Markets,2022/03/31,4:15 PM,Big Tent,"Bitcoin mining is the new gold rush. As everyone rushes onto the bandwagon of this extremely capital intensive industry, it’s important to know how to get in and survive, as well as thrive.",2022/03/31,04:35 PM
Permit to Power Flow,2022/03/31,4:30 PM,Big Tent,Ryan Nuckolls discusses how crypto miners can get connected to the ERCOT grid and operate with maximum power efficiency.,2022/03/31,04:50 PM
Too Much Power: The Need for Decentralization,2022/03/31,5:00 PM,Beatles Stage,"The debate over who should power the Bitcoin network continues to divide the industry, with some saying that the growing number of large mining companies is too vulnerable and centralized.",2022/03/31,05:20 PM
Lifecycle of Bitcoin Mining Equipment,2022/03/31,5:15 PM,Beatles Stage,Are you curious about the cost to keep up with your mining equipment?,2022/03/31,05:35 PM
